Healthcare Name,Street_Address,City,Zipcode,State,Associated_Health_System,Nonprofit,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
SSM Health St. Anthony Hospital - Shawnee,1102 West MacArthur Street,Shawnee,74804-1744,OK,SSM Health,,2021,"Combination of counties, zip codes, and places",Pottawatomie,74804,"Asher, McLoud, Shawnee, Tecumseh, Wanette","Affordable housing and homelessness, food insecurity, transportation, primary care and urgent care access, mental health ","Food insecurity, behavioral health, primary care access",https://www.ssmhealth.com/SSMHealth/media/Documents/about/chna/oklahoma/ssm-health-st-anthony-shawnee-chna-2021.pdf,https://www.ssmhealth.com/SSMHealth/media/Documents/about/chna/oklahoma/ssm-health-st-anthony-shawnee-chip-2022-2024.pdf,N/A
St. John Broken Arrow,1000 West Boise Circle,Broken Arrow,74012-4900,OK,Ascension Healthcare,,2019,"Combination of counties, zip codes, and places",Tulsa,"74130, 74120","downtown Tulsa, east Tulsa, Jenks, Bixby and Glenpool, midtown Tulsa, Tulsa north, Owasso, Sperry, Collinsville, Skiatook, Sand Springs, west Tulsa, south Tulsa, Broken Arrow","behavioral health, exercise/nutrition/weight, prevention/health behaviors (e.g. smoking, missing doctor's visits), access to care, chronic disease (esp cancer), adverse childhood experiences (ACEs), food access/security, substance abuse, socioeconomic status, immunizations and infectious diseases, lack of health education, maternal/fetal/infant health","behvaioral health, access to care, healthy life styles, adverse childhood experiences",https://healthcare.ascension.org/-/media/Healthcare/Compliance-Documents/Oklahoma/2019-St-John-Broken-Arrow-CHNA-Executive-Summary.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/oklahoma/2020-2022-st-john-broken-arrow-implementation-strategy.pdf,N/A
St. John Medical Center,1923 South Utica Avenue,Tulsa,74104-6502,OK,Ascension Healthcare,,2019,"Combination of counties, zip codes, and places",Tulsa,"74063, 74105, 74012, 74114, 74133","downtown Tulsa, east Tulsa, Jenks, Bixby, Glenpool, midtown Tulsa, Tulsa north, Owasso, Sperry, Collinsville, Skiatook, Sand Springs, west Tulsa, south Tulsa and Broken Arrow","behavioral health, access to care, healthy lifestyles, adverse childhood experiences (ACEs)","behavioral health, access to care, prevention/health behaviors, exercise, nutrition and weight, chronic disease (esp. cancer), substance abuse",https://healthcare.ascension.org/-/media/Healthcare/Compliance-Documents/Oklahoma/2019-St-John-Medical-Center-CHNA-Report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/oklahoma/2020-2022-st-john-medical-center-implementation-strategy.pdf,N/A
St. John Owasso,12451 East 100th Street North,Owasso,74055-4600,OK,Ascension Healthcare,Yes,2019,"Combination of counties, zip codes, and places",Tulsa,"74055, 74021, 74073, 74126, 74115","Tulsa, Bixby, Broken Arrow, Collinsville, Glenpool, Jenks, Liberty, Lotsee, Owasso, Sand Springs, Sapulpa, Skiatook and Sperry","behavioral health, access to care, prevention/health behaviors, exercise, nutrition and weight, chronic disease (esp. cancer), substance abuse","behvaioral health, access to care, healthy lifestyles, adverse childhood experiences (ACE's)",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/oklahoma/2019-st-john-owasso-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/oklahoma/2020-2022-st-john-medical-center-implementation-strategy.pdf,N/A
St. John Rehabilitation Hospital,1200 West Albany Drive,Broken Arrow,74012-8146,OK,Encompass Health Corporation,Yes,N/A unable to find,,,,,,,,,
St. John Sapulpa,1004 East Bryan Avenue,Sapulpa,74066-4513,OK,Ascension Healthcare,Yes,2019,"Combination of counties, zip codes, and places",Creek,"74066, 74039, 74010, 74044, 74041",City of Sapulpa,"Behavioral health, Exercise/nutrition/weight, Prevention/health behaviors (e.g., smoking, missing doctors visits, etc.), Access to care, Chronic disease (esp. cancer), Adverse childhood experiences (ACEs), Food access/security, Safe environment, Substance abuse, Socioeconomic status, mmunizations and infectious diseases, Lack of health education, Maternal/fetal/infant health","Behavioral health, access to care, Healthy lifestyles, Adverse childhood experiences (ACE)",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/oklahoma/2019-st-john-sapulpa-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/oklahoma/2019-st-john-sapulpa-chna-report.pdf,N/A
St. Mary's Regional Medical Center,305 South Fifth Street,Enid,73701-5899,OK,"Universal Health Services, Inc.",No,N/A unable to find,,,,,,,,,
Stillwater Medical Center,1323 West Sixth Avenue,Stillwater,74074-4399,OK,,Yes,N/A unable to find,,,,,,,,,
Stillwater Medical Perry,501 North 14th Street,Perry,73077-5099,OK,,Yes,N/A unable to find,,,,,,,,,
Stroud Regional Medical Center,Highway 66 West,Stroud,74079,OK,"First Physicians Capital Group, Inc.",No,2014,"Combination of counties, zip codes, and places",Lincoln,"74026, 74028, 74046, 74079, 74824, 74834, 74860, 74869","Stroud, Davenport, Depew, Agra, Chandler, Milfay, Paden, Sparks","Physical Inactivity, Adult Smoking, Adult Obesity, Clinical care","Primary care providers, Preventable hospital stays, Access to exercise opportunities, uninsured, mammography screenings",https://osucrhblog.s3.amazonaws.com/chna/pdf/stroudregmedcntr2014.pdf,https://osucrhblog.s3.amazonaws.com/chna/pdf/stroudregmedcntr2014.pdf,Corrie Kaiser Director of Ok Rural health 405-840-6500
Summit Medical Center,1800 S Renaissance Boulevard,Edmond,73013-3023,OK,,No,N/A unable to find,,,,,,,,,
Surgical Hospital of Oklahoma,100 SE 59th Street,Oklahoma City,73129-3616,OK,,No,N/A unable to find,,,,,,,,,
The Children's Center Rehabilitation Hospital,6800 NW 39th Expressway,Bethany,73008-2513,OK,,Yes,2019,List of Places,N/A,N/A,State of Oklahoma,"Lack of access to specialists, Lack of access to rural patients, Transitional care","Increase access to specialists, Increase access to rural patients, Transitional care ",https://www.bethanychildrens.org/wp-content/uploads/2021/12/The-Childrens-Center-06-30-19-CHNA.pdf,N/A,N/A
Tulsa Spine and Specialty Hospital,6901 South Olympia Avenue,Tulsa,74132-1843,OK,Ardent Health Services,Unable to find,N/A unable to find,,,,,,,,,
Valir Rehabilitation Hospital,700 NW Seventh Street,Oklahoma City,73102-1212,OK,,Unable to find,N/A unable to find,,,,,,,,,
Wagoner Community Hospital,1200 West Cherokee Street,Wagoner,74467-4624,OK,,No,2018,"Combination of counties, zip codes, and places","Wagoner, Cherokee, Creek, Mayes, Muskogee, Okmulgee, Rogers","74467, 74446","Tahlequah, Sapulpa, Pryor, Muskogee, Okemah, Claremore, Wagoner","Drug and alcohol abuse, pediatrics available in the community, keeping people in the community using local services","Access to fitness opportunities, activities for teenagers, limited activities outside of athletics, lack of pediatric providers and care in the community, increase non-smoking areas throughout the state",https://www.wagonerhospital.com/_files/ugd/9fdff7_b25ca09d5aa147e78620af4230ba6af6.pdf,https://www.wagonerhospital.com/_files/ugd/9fdff7_b25ca09d5aa147e78620af4230ba6af6.pdf,918-485-5514
Weatherford Regional Hospital,3701 East Main Street,Weatherford,73096-3309,OK,,,2020,"Combination of counties, zip codes, and places","Beckham, Blaine, Caddo, Caddo, Custer, Custer Kiowa, Washita","73096, 73669, 73048, 73047, 73021, 73024, 73040, 73033, 73015, 73632, 73601","Elk City, Watonga, Anadarko, Carnegie, Clinton, Weatherford, Hobart, Cordell","premature death, poor or fair health, poor physical health days, poor mental health days, low birth weight","Mental health, COVID-19, Overall wellness, access to affordable care, chronic conditions, access to specailists, acessing OB and prenatal care, aging, food insecuity, uninsured students, STI testing",https://osucrhblog.s3.amazonaws.com/chna/pdf/weatherfordreghosp2020.pdf,http://osururalhealth.blogspot.com/p/chna.htmll,N/A
Willow Crest Hospital,130 'A' Street SW,Miami,74354-6800,OK,,,N/A unable to find,,,,,,,,,
