Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Nonprofit,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
Parsons State Hospital and Training Center,2601 Gabriel Avenue,Parsons,67357-2341,KS,,,N/A unable to find,,,,,,,,,
Phillips County Health Systems,1150 State Street,Phillipsburg,67661-1743,KS,,,N/A unable to find,,,,,,,,,
Prairie View,1901 East First Street,Newton,67114-5010,KS,,Yes,2020,Combination of counties and places,Harvey,N/A,Newton,"Uninsured Population, Chronic Conditions, Diagnosed with Diabetes, Issues with Weight, Poor Physical or Mental Health, Fruit/Vegetable Consumption, Adolescent Health Indicators, Drug Overdose Mortality, Poisoning (Drugs) Hospital, Admission Rate, Adults who Smoke Cigarettes, Adolescent Depressive Episode","Prevent and Manage Chronic Diseases, Increase Mental Health and Behavioral Health Services, Education, Increase Economic Stability",https://prairieview.org/uploads/media/2020_CHNA_REPORT_FINAL.pdf,https://prairieview.org/uploads/media/2020_CHNA_FINAL_-CHIP_2020-2023_-_Harvey_County.pdf,N/A
Pratt Regional Medical Center,200 Commodore Street,Pratt,67124-2903,KS,,Yes,2021,"Combination of counties, zip codes, and places",Pratt,"67021, 67028, 67066, 67124, 67134","Byers, Coats, Luka, Pratt, Sawyer","Mental Health (Diagnosis, Placement, Aftercare), Child Care Options, Affordable Quality Housing, Economic Development/Qualified Workforce, Drug/Substance Abuse, Uninsured/Underinsured, Obesity, Community Social Division, Chronic Disease Management, Suicide","Mental Health (Diagnosis, Placement, Aftercare) , Child Care Options, Drug/Substance Abuse",https://www.prmc.org/assets/site/documents/chna2021-prattco-fullreport-duplicate.pdf,https://www.prmc.org/assets/site/documents/2021-implementation-plan.pdf,N/A
Premier Surgical Institute,1619 West 7th Street,Galena,66739,KS,,,N/A unable to find,,,,,,,,,
Promise Hospital of Overland Park,6509 West 103rd Street,Overland Park,66212-1728,KS,Promise Healthcare,,N/A unable to find,,,,,,,,,
Providence Medical Center,8929 Parallel Parkway,Kansas City,66112-1689,KS,Prime Healthcare Services,Yes,2018,Combination of counties and zip codes,Wyandotte,"66101, 66102, 66103, 66104, 66105, 66106, 66109, 66111, 66112, 66012, 66113, 66118",N/A,"Access to healthy foods; Access to medical, dental, and mental health care; safe and affordable housing; childhood trauma/ACE; education and jobs; infant & birth outcomes; violence ","Access to healthy foods; Access to medical, dental, and mental health care; safe and affordable housing; childhood trauma/ACE; education and jobs; infant & birth outcomes; violence ",https://kphcollaborative.org/wp-content/uploads/2019/09/UGPHD-Community-Health-Assessment-March-2018.pdf,N/A,N/A
Rawlins County Health Center,707 Grant Street,Atwood,67730-1526,KS,Centura Health,Yes,2021,Combination of counties and places,Rawlins,"67732, 67734, 67731, 67740, 67735, 67701, 67743, 67753, 67744, 67739, 67745, 67730",N/A,"Economic development: attracting and retaining youth / businesses (decreased population, shop at home), Cost of health care / living (including high taxes and health care insurance), Health care providers / staff (retain, recruit, consistency, availability, quality), Mental health services (local availability and cost, including substance abuse), Elder care services (keeping elderly home longer, options for assisted living, financial resources), Childcare services (availability, quality, and affordability), and Confidentiality / trust (communication)","Mental Health, Economic development, Building community trust and communication, and provider retention/avaliability/coordination of care",https://dta0yqvfnusiq.cloudfront.net/rchc/2021/07/Rawlins-County-Community-Health-Needs-Assessment-2020-21-FINAL-60e46e6251211.pdf,https://dta0yqvfnusiq.cloudfront.net/rchc/2021/07/Rawlins-County-Community-Health-Needs-Assessment-2020-21-FINAL-60e46e6251211.pdf,N/A
Rehabilitation Hospital of Overland Park,5100 Indian Creek Parkway,Overland Park,66207-4115,KS,"Post Acute Medical, LLC",,N/A unable to find,,,,,,,,,
Republic County Hospital,2420 'G' Street,Belleville,66935-2400,KS,"Great Plains Health Alliance, Inc.",,2019,"Combination of counties, zip codes, and places",Republic,"66935, 66966, 66940, 66939, 66959, 66930, 66960, 66964","Belleville, Scandia, Cuba, Courtland, Munden, Agenda, Narka, Republic","Lack of Health Knowledge/Education, Aging Issues, Lack of Healthy Behaviors/Lifestyle Choices, Financial Barriers (general lack of funds)/Poverty, Physical Inactivity/Access to Exercise Opportunities, Cost of Healthcare Services, Unhealthy Eating Habits/Limited Access to Healthy Food Options, Children in Poverty, Uninsured/Limited Insurance, Obesity, Lack of Funding for Programs, Lack of Preventative Care, Lack of Mental Health Services","Lack of health knowledge/ education, Lack of Healthy Behaviors/ Lifestyle choices, Financial Barriers/Poverty",https://www.rphospital.org/docs/Republic_County_Hospital_CHNA_9-25.pdf,https://www.rphospital.org/docs/CHNA_Impl_Strattegy_2020-2022.pdf,N/A
Robert J. Dole Veterans Affairs Medical Center,5500 East Kellogg,Wichita,67218-1607,KS,Department of Veterans Affairs,,N/A unable to find,,,,,,,,,
Rooks County Health Center,1210 North Washington Street,Plainville,67663-1632,KS,,,N/A unable to find,,,,,,,,,
Rush County Memorial Hospital,801 Locust Street,La Crosse,67548-9673,KS,,,N/A unable to find,,,,,,,,,
Russell Regional Hospital,200 South Main Street,Russell,67665-2920,KS,,Yes,2021,"Combination of counties, zip codes, and places",Russell,"67665, 67640, 67649, 67626, 67634, 67673, 67658, 67648","Cities: Russell, Gorham, Luray, Bunker Hill, Dorrance, Walso, Paradise, Lucas","Mental Health, Child Care, Housing, Drug/Alcohol Abuse, Economic Development, Awareness of Healthcare Services, Obesity","Mental Health, Child Care, Housing, Drug/Alcohol Abuse, Economic Development, Awareness of Healthcare Services, Obesity",https://irp.cdn-website.com/36d88f66/files/uploaded/CHNA2021_RussellCo_Wave%234_Final_LIG1MGcLS86xEXZ0nzLd.pdf,https://irp-cdn.multiscreensite.com/36d88f66/files/uploaded/RRH%20Imp.%20Plan.pdf,"Vince Vandehaar, MBA
Principal & Adjunct Professor
VVV@VandehaarMarketing.com
Cassandra Kahl, BHS MHA
Director, Project Management
CJK@VandehaarMarketing.com
HQ Office:
601 N Mahaffie, Olathe, KS 66061
(913) 302-7264
http://vandehaarmarketing.com/"
Sabetha Community Hospital,14th and Oregon Streets,Sabetha,66534-0229,KS,"Great Plains Health Alliance, Inc.",Yes,2021,"Combination of counties, zip codes, and places",Nemaha,"66404, 66408, 66415, 66417, 66428, 66522, 66534, 66538, 66550
","Baileyville, Bern, Centralia, Corning, Golf, Oneida, Sabetha, Senec, Wetmore","Tobacco Use, Diet and Exercise, Alcohol Use, Sexual Activity, Acess to care, Quality of Care, Education, Employment, Income, Family & Social Support, Community Safety, Environmental Quality, Built Environment ","Tobacco Use, Diet and Exercise, Alcohol Use, Sexual Activity, Acess to care, Quality of Care, Education, Employment, Income, Family & Social Support, Community Safety, Environmental Quality, Built Environment ",https://www.sabethahospital.com/docs/CHNA_June_2021.pdf,https://www.sabethahospital.com/getpage.php?name=chna,lkey@sabethahospital.com
Saint John Hospital,3500 South Fourth Street,Leavenworth,66048-5043,KS,Prime Healthcare Services,Yes,2018,List of Counties,Leavenworth,N/A,N/A,"Access to health services; Clinical preventive services; Environmental quality; Injury and violence; Maternal, infant, and child health; Mental health; Nutrition, physical activity, and obesity; Oral health; Reproductive and sexual health; Social determinants; Substance abuse; Tobacco","Behavioral Health Care, Access to Care, Increased Access to Physical Activity and Nutrition",https://www.saintlukeskc.org/sites/default/files/2018-12/2018-1444_2CB_Cushing_Needs_Asses_ImplemPlan_Brochure2018_web_1.pdf,N/A,N/A
Saint Luke's Cushing Hospital,711 Marshall Street,Leavenworth,66048-3235,KS,Saint Luke's Health System,"No - hospital closed on Oct 1, 2020",N/A unable to find,,,,,,,,,
Saint Luke's South Hospital,12300 Metcalf Avenue,Overland Park,66213-1324,KS,Saint Luke's Health System,Yes,2020,Combination of counties and zip codes,"Johnson, Jackson, Wyandotte","66109, 66104, 66112, 66111, 66106, 66102, 66105, 66103, 66202, 66208, 66207, 66211, 66209, 66224, 66085, 66221, 66213, 66210, 66214, 66216, 66219, 66250, 66052, 66031, 66220, 66227, 66226, 66218, 66021, 66030, 66061, 64101, 64108, 64112, 64113, 64145, 64147, 64030, 64137, 64132,
64130, 64128, 64129, 64120, 64052, 64050, 64055, 64133, 64138, 64134, 64149, 64082, 64034, 64081, 64086, 64070, 64065, 64139, 64064, 64014,
64015, 64075, 64029, 64056, 64058, 64016, 64088, 64066",N/A,"Access to care, COVID-19 pandemic and effects, Mental Health, Needs of growing senior population, Poverty & social determinants of health, Unhealthy behaviors ","Access to care, COVID-19 pandemic and effects, Mental Health, Needs of growing senior population, Poverty & social determinants of health, Unhealthy behaviors",https://www.saintlukeskc.org/sites/default/files/2021-04/SLS%20CHNA_2020-final.pdf,N/A,N/A 
Salina Regional Health Center,400 South Santa Fe Avenue,Salina,67401-4198,KS,Salina Regional Health Center,,2018,List of Counties,Salina,N/A,N/A,"Aging population, Cancer, Depression/mental health, Diabetes, Domestic violence, Drug poisoning, Heart disease related indicators, Immunization, Overweight/obesity child obesity, Pregnancy related indicators, Sexually transmitted disease rate, Smoking, percent of adults who currently smoke cigarettes, Stroke, Trauma/falls","Aging population, Cancer, Depression/mental health, Diabetes, Domestic violence, Drug poisoning, Heart disease related indicators, Immunization, Overweight/obesity child obesity, Pregnancy related indicators, Sexually transmitted disease rate, Smoking, percent of adults who currently smoke cigarettes, Stroke, Trauma/falls",https://www.srhc.com/about-us/documents/CHNA2018.pdf,https://www.srhc.com/about-us/documents/CHNA2018.pdf,
Salina Surgical Hospital,401 South Santa Fe Avenue,Salina,67401-4143,KS,,,2018,List of Counties,Salina,N/A,N/A,"Depression/Mental Health, Obesity (Child and Adult), Domestic Violence, Aging Population, Heart Disease Related Indicators, Cancer, Death Rate Due to Drug Poisoning, Immunizations, Stroke, Pregnancy Related Indicators, Trauma/Falls, Diabetes, Smoking (% of Adults Who Currently Smoke), Sexually Transmitted Disease Rate","Depression/Mental Health, Obesity (Child and Adult), Domestic Violence, Aging Population, Heart Disease Related Indicators, Cancer, Death Rate Due to Drug Poisoning, Immunizations, Stroke, Pregnancy Related Indicators, Trauma/Falls, Diabetes, Smoking (% of Adults Who Currently Smoke), Sexually Transmitted Disease Rate",https://www.srhc.com/about-us/documents/CHNA2018.pdf,https://www.srhc.com/about-us/documents/2019ImplementationStrategyPDF.pdf,N/A
Satanta District Hospital and Long Term Care,401 South Cheyenne Street,Satanta,67870-0159,KS,"Great Plains Health Alliance, Inc.",,N/A unable to find,,,,,,,,,
Scott County Hospital,201 East Albert Avenue,Scott City,67871-1203,KS,,,2016,Combination of counties and zip codes,Scott,"67871, 67839, 67861, 67863, 67846, 67850",N/A,"Elder care services; Health, wellness, prevention, chronic disease prevention; Child/elder day care centers","Elder care services; Health, wellness, prevention, chronic disease prevention; Child/elder day care centers",https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2016/Scott_CHNA_2016.pdf,https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2016/Scott_CHNA_2016.pdf,jleather@ksu.edu
Sedan City Hospital,300 North Street,Sedan,67361-1051,KS,,,2019,List of Counties,"Chautauqua, Cherokee, Crawford, Elk, Labette, Montegomery, Neosho, Wilson",N/A,N/A,"Chronic Disease, Alcohol & Drug/Tobacco Abuse, Poor Diet, Inactivity and Obesity","Chronic Disease, Alcohol & Drug/Tobacco Abuse, Poor Diet, Inactivity and Obesity",http://www.sedancityhospital.org/documents/Community_Health_Assessment_2019.pdf,http://www.sedancityhospital.org/documents/Community_Health_Assessment_2019.pdf,N/A
Select Specialty Hospital-Kansas City,1731 North 90th Street,Kansas City,66112-1515,KS,Select Medical Corporation,No,N/A unable to find,,,,,,,,,
Select Specialty Hospital-Wichita,929 North St Francis Street,Wichita,67214-3821,KS,Select Medical Corporation,No,N/A unable to find,,,,,,,,,
Sheridan County Health Complex,826 18th Street,Hoxie,67740-0167,KS,,Yes,2021,List of Counties,Sheridan,N/A,N/A,"Childcare Access, EMS Staffing, Stigma of Mental Health, Availability of Hospital Facility - Visiting Specialists Space, Affordable Housing, Preventative Health & Wellness, Weekend HC Availability (Extended Hours), Alcohol & Drug Abuse, Nutrition Education, Qualified PSA Workforce Recruitment","Childcare Access, EMS Staffing, Stigma of Mental Health, Availability of Hospital Facility - Visiting Specialists Space, Affordable Housing, Preventative Health & Wellness, Weekend HC Availability (Extended Hours), Alcohol & Drug Abuse, Nutrition Education, Qualified PSA Workforce Recruitment",https://schcmed.com/docs/CHNA/2021/CHNA-2021-SheridanCoKS-Report-Final.pdf,https://schcmed.com/docs/CHNA/2021/CHNA-2021-Implementation-Plan.pdf,"Vince Vandehaar, MBA Principal & Adjunct Professor VVV@VandehaarMarketing.com"
Smith County Memorial Hospital,921 East Highway 36,Smith Center,66967,KS,"Great Plains Health Alliance, Inc.",Yes,2021,List of Counties,Smith,N/A,N/A,"Mental Health, Child Care Access, Dental Service Access, Home Health Service Access, Obesity, Affordable HC Insurance, County Wide Preparedness, Drug Abuse, Senior Housing Options, Poverty/Employment Readiness","Mental Health, Child Care Access, Dental Service Access, Home Health Service Access, Obesity, Affordable HC Insurance, County Wide Preparedness, Drug Abuse, Senior Housing Options, Poverty/Employment Readiness",https://www.scmhks.org/files/2021/08/CHNA_2021_SmithCoKS_Report_Release_Final.pdf,https://www.scmhks.org/files/2022/02/CHNA2021_ImpDetailPlan_SCMH_SmithCoKS_For-Web.pdf,VVV@VandehaarMarketing.com 
South Central Kansas Medical Center,6401 Patterson Parkway,Arkansas City,67005-5701,KS,,Yes,N/A unable to find,,,,,,,,,
Southwest Medical Center,315 West 15th Street,Liberal,67901-2455,KS,,Yes,2019,List of Counties,Seward,N/A,N/A,"Substance Abuse; Mental Health; Diabetes; Nutrition, Physical Acitiviy, & Weight; Heart Disease & Stroke; Oral Health; Cancer; Access to Health Services; Injury & Violence; Sexual Health","Substance Abuse; Mental Health; Diabetes; Nutrition, Physical Acitiviy, & Weight; Heart Disease & Stroke; Oral Health; Cancer; Access to Health Services; Injury & Violence; Sexual Health",http://www.swmedcenter.com/wp-content/uploads/2019/12/2019-PRC-CHNA-Report-Seward-County-KS-FINAL-REPORT-10-14-2019-compressed.pdf,http://www.swmedcenter.com/wp-content/uploads/2019/12/2019-PRC-CHNA-Report-Seward-County-KS-FINAL-REPORT-10-14-2019-compressed.pdf,N/A
St. Catherine Hospital,401 East Spruce Street,Garden City,67846-5679,KS,CommonSpirit Health,Yes,2016,List of Counties,Finney,N/A,N/A,"Healthy Eating Active Living, Behavioral Health, Health Equity / Access to Care","Healthy Eating Active Living, Behavioral Health, Health Equity / Access to Care",https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2016/Finney_CHNA_2016_1.pdf,https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2016/Finney_CHNA_2016_1.pdf,"Lee Ann Shrader, 620-765-1185, LeeShrader@centura.org"
St. Luke Hospital and Living Center,535 South Freeborn,Marion,66861-1256,KS,,Yes,2013,"Combination of counties, zip codes, and places",Marion,"66861, 66866, 66851, 67063","Marion, Peabody, Florence, Hillsboro","Promote health, wellness, and chronic disease prevention; Improve communication and collaboration between health care providers, other essential local institutions, between providers and the community, and within the community; Enhance access to health resources and assistance for all county citizens","Promote health, wellness, and chronic disease prevention; Improve communication and collaboration between health care providers, other essential local institutions, between providers and the community, and within the community; Enhance access to health resources and assistance for all county citizens",https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2013/Marion_CHNA_2013.pdf,https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2013/Marion_CHNA_2013.pdf,"Dr. John Leatherman, Department of Agricultural Economics, 785-532-2643, jleather@ksu.edu"
Stafford County Hospital,502 South Buckeye Street,Stafford,67578-2035,KS,,Yes,N/A unable to find,,,,,,,,,
Stanton County Hospital,404 North Chestnut Street,Johnson,67855-5001,KS,,Yes,2013,"Combination of counties, zip codes, and places","Stanton (KS), Baca (CO), Hamilton (KS)","67855, 81090, 67878, 67862","Johnson (KS), Walsh (CO), Syracuse (KS), Manter (KS)","Promote health, wellness and chronic disease prevention; Enhance collective community support of the elderly, those who are alone, and everyone in need of assistance; Evaluate alternatives to update and improve the county's health care system with an expanded array of programs and services","Promote health, wellness and chronic disease prevention; Enhance collective community support of the elderly, those who are alone, and everyone in need of assistance; Evaluate alternatives to update and improve the county's health care system with an expanded array of programs and services",https://stantoncountyhospital.com/Search.aspx?sterm=community+health+needs,https://stantoncountyhospital.com/Search.aspx?sterm=community+health+needs,"Dr. John Leatherman, Department of Agricultural Economics, 785-532-2643, jleather@ksu.edu"
Stevens County Hospital,1006 South Jackson Street,Hugoton,67951-2858,KS,,,N/A unable to find,,,,,,,,,
Stormont Vail Health,1500 SW Tenth Avenue,Topeka,66604-1353,KS,,Yes,2021,"Combination of counties, zip codes, and places",Shawnee,"66614, 66604, 66605, 66606, 66611, 66610, 66607, 66618, 66617, 66609, 66608, 66616, 66542, 66402, 66409, 66619, 66612, 66539, 66603, 66533, 66546, 66601, 66050, 66675, 66667, 66600, 66420, 66621, 66801, 66502","Topeka, Tecumseh, Auburn, Berryton, Silver Lake, Rossville, Wakarusa, Lecompton, Dover, Emporia, Manhattan ","Mental Health Access, Affordable HC Insurance, Poverty, Drug/Substance Abuse, Obesity ","Food Security, Substance Abuse, Mental Health Access, Health Equity",https://www.stormontvail.org/wp-content/uploads/2020/11/CHNA_ShawneeCo_2018Wave3_FullReport_Final.pdf,https://www.stormontvail.org/wp-content/uploads/2020/11/CHNA_ShawneeCo_2018Wave3_FullReport_Final.pdf,N/A
Summit Surgical,1818 East 23rd Avenue,Hutchinson,67502-1106,KS,,,N/A unable to find,,,,,,,,,
Susan B. Allen Memorial Hospital,720 West Central Avenue,El Dorado,67042-2112,KS,,Yes,2019,"Combination of counties, zip codes, and places","Butler, Greenwood, Marion, Elk","67042, 67010, 67074, 67039, 
67132, 67017, 67123, 67002,
66842, 67072, 67133, 67154, 
67012, 67041, 67045, 66840, 67349, 67137","El Dorado, Augusta, Towanda, Leon, Douglass, Rosalia, Benton, Potwin, Andover, Cassoday, Latham, Rose, Hill, Whitewater, Beaumont, Elbing, Eureka, Burns, Marion, Howard, Sever","Mental health, Poverty, Substance abuse, Obesity, Senior health, Foster homes, Federally Qualified Health Centers Services, Suicide prevention","Substance Abuse, Poverty, Mental Health Services, Obesity, Suicide, Abuse/Violence, Access to Healthcare",http://www.sbamh.com/user/file/SBAMH_CHNA2019.pdf,http://www.sbamh.com/user/file/SBAMH_CHNA2019.pdf,VVV@VandehaarMarketing.com
The University of Kansas Hospital,"4000 Cambridge Street, MS 3011",Kansas City,66160,KS,University of Kansas Health System,,N/A unable to find,,,,,,,,,
Trego County-Lemke Memorial Hospital,320 North 13th Street,Wakeeney,67672-2099,KS,"Great Plains Health Alliance, Inc.",,2018,List of Counties,Trego,N/A,N/A,"Mental health, Drug Abuse, Dental Care, Obesity, Heart Failure, Suicide, Additional Senior Housing","Mental health, Drug Abuse, Dental Care, Obesity, Heart Failure, Suicide, Additional Senior Housing",https://www.tclmh.org/images/CHNA/TregoCo_CHNA2018.pdf,https://www.tclmh.org/images/CHNA/Implementation-Plan-2018.pdf,VVV@VandehaarMarketing.com
University of Kansas Health System Great Bend Campus,514 Cleveland Street,Great Bend,67530-3562,KS,University of Kansas Health System,,N/A unable to find,,,,,,,,,
University of Kansas Health System Pawnee Valley Campus,923 Carroll Avenue,Larned,67550-2429,KS,University of Kansas Health System,,2021,"Combination of counties, zip codes, and places","Pawnee, Barton","67550, 67523, 67529, 67574, 67530, 67567","Cities: Larned, Burdett, Garfield, Rozel, Great Bend, Pawnee Rock","Mental Health, Drug Abuse, Access to Care After Hours, Affordable Care, Awareness of Health Services, Teen Tobacco/Vape Use, Awareness of exercise, Insurance Coverage, Women's Health","Mental Health, Drug Abuse, Access to Care After Hours, Affordable Care, Awareness of Health Services, Teen Tobacco/Vape Use, Awareness of exercise, Insurance Coverage, Women's Health",https://www.pawneecountykansas.com/DocumentCenter/View/1124/2021-CHNA-Report,N/A,VVV@VandehaarMarketing.com
University of Kansas Health System St. Francis Campus,1700 SW 7th Street,Topeka,66606-1690,KS,Ardent Health Services,,N/A unable to find,,,,,,,,,
Veterans Affairs Eastern Kansas Health Care System,2200 South West Gage Boulevard,Topeka,66622-0002,KS,Department of Veterans Affairs,,N/A unable to find,,,,,,,,,
Wamego Health Center,711 Genn Drive,Wamego,66547-1179,KS,Ascension,Yes,2020,List of Counties,Pottawatomie,N/A,N/A,"Affordable Health Services, Affordable Health Insurance, Facilities for Physical Activity, Affordable Prescriptions, Access to Healthy Food Options, Affordable Mental Health Services, Affordable Health Insurance (Includes Mental Health, Increased Number of Mental Health Providers, High Quality Mental Health Services), Children's Mental Health Services, Child Care for Children 0-5, After School Programs, Recreational Activities, Parenting Education/Skills Development, Mentoring Programs for Children, Employment Opportunities for Teens, Workforce Training for Teens, Financial Skills Training, Substance Abuse Prevention/Treatment, Independent Living in the Home, Affordable Housing, Home Health Care Options, Good Quality of Life, Need for Behavioral Health Services, Lack of Child Care and Activities, Transportation, Housing and Cost of Living, Lack of Accessible/Affordable Health Care ","Access to Care, Access to Healthy Food, Mental Health, Healthcare Workforce Development, COVID-19 Response",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/kansas/2020-wamego-health-center-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/kansas/2021-2023-wamego-health-center-implementation-strategy.pdf,ann.buckendahl@ascension.org
Washington County Hospital,304 East Third Street,Washington,66968-2033,KS,,Yes,N/A unable to find,,,,,,,,,
Wesley Healthcare Center,550 North Hillside,Wichita,67214-4976,KS,HCA Healthcare,,N/A unable to find,,,,,,,,,
Wesley Rehabilitation Hospital,8338 West 13th Street North,Wichita,67212-2984,KS,Encompass Health Corporation,,N/A unable to find,,,,,,,,,
Western Plains Medical Complex,3001 Avenue 'A',Dodge City,67801-6508,KS,LifePoint Health,Yes,2019,List of Counties,Finney,N/A,N/A,"Healthy eating, activing living, and tobacco; behavioral health and prevention, access to care, health equity and food insecurity","Healthy eating, activing living, and tobacco; behavioral health and prevention, access to care, health equity and food insecurity",https://www.centura.org/community-impact/community-benefit,https://www.centura.org/community-impact/community-benefit,N/A
Wichita County Health Center,211 East Earl Street,Leoti,67861-9620,KS,"Great Plains Health Alliance, Inc.",Yes,N/A unable to find,,,,,,,,,
William Newton Hospital,1300 East Fifth Street,Winfield,67156-2407,KS,,,2021,"Combination of counties, zip codes, and places",Cowley ,"67156, 67005, 67019","Winfield, Arkansas City, Burden","Behavioral/Mental Health, Poverty, Drug/Substance Abuse, Suicide, Awareness of Health Services, Affordable Housing, Nutrition/Physical Activity, Preventative Services, Lack of Health Insurance ","Behavioral/Mental Health, Poverty, Drug/Substance Abuse, Suicide, Awareness of Health Services, Affordable Housing, Nutrition/Physical Activity, Preventative Services, Lack of Health Insurance ",https://www.wnhcares.org/storage/app/media/uploaded-files/chna4report2021cowleyco-final-implementation-plan-3-7-22.pdf,https://www.wnhcares.org/storage/app/media/uploaded-files/chna4report2021cowleyco-final-implementation-plan-3-7-22.pdf,N/A
Wilson Medical Center,2600 Ottawa Road,Neodesha,66757-1897,KS,QHR,Yes ,2019,List of Counties,Wilson,N/A,N/A,"Access to Health Services; Adolescent Pregnancy & STDs; Diabetes; Fitness & Nutrition; Heart Disease & Stroke; Maternal, Fetal & Infant Health; Mental Health/Alcohol & Substance Misuse; Obesity","Obesity, Fitness/Nutrition, Mental Health (including Alcohol and Substance Misuse)",https://www.wilsonmedical.com/sites/wilson/assets/uploads/2019%20Wilson_County%20CHNA%20Report-Final%202.pdf,https://www.wilsonmedical.com/sites/wilson/assets/uploads/2019%20Wilson_County%20CHNA%20Report-Final%202.pdf,"
Jessica Williams, 252.237.3141 ext. 6657"
